msoa_code,income_before_housing,income_after_housing,housing_cost,housing_cost_pct
W02000261,31.047,28.598,2.4490000000000016,7.9
W02000262,30.384,28.428,1.9559999999999995,6.4
W02000263,29.595,26.412,3.183,10.8
W02000264,28.229,24.397,3.8320000000000007,13.6
W02000265,29.499,26.738,2.7609999999999992,9.4
W02000266,30.888,28.303,2.585000000000001,8.4
W02000267,29.484,26.52,2.964000000000002,10.1
W02000268,31.017,28.501,2.5159999999999982,8.1
W02000269,28.453,26.419,2.033999999999999,7.1
W02000270,32.841,30.22,2.621000000000002,8.0
W02000271,28.591,24.515,4.0760000000000005,14.3
W02000272,33.164,29.634,3.530000000000001,10.6
W02000273,28.88,26.03,2.849999999999998,9.9
W02000274,31.643,29.545,2.097999999999999,6.6
W02000275,30.416,29.561,0.8550000000000004,2.8
W02000276,34.962,33.299,1.6630000000000038,4.8
W02000277,33.135,31.729,1.4059999999999988,4.2
W02000278,39.105,37.472,1.6329999999999956,4.2
W02000279,33.736,30.855,2.8809999999999967,8.5
W02000280,37.161,35.15,2.011000000000003,5.4
W02000281,35.858,35.066,0.7919999999999945,2.2
W02000282,39.342,35.268,4.073999999999998,10.4
W02000290,26.436,25.58,0.8560000000000016,3.2
W02000291,28.545,26.363,2.182000000000002,7.6
W02000292,28.357,27.941,0.41600000000000037,1.5
W02000293,29.166,26.243,2.923000000000002,10.0
W02000294,32.638,32.726,-0.08800000000000097,-0.3
W02000295,32.57,32.039,0.5309999999999988,1.6
W02000296,29.831,27.341,2.4899999999999984,8.3
W02000297,29.771,29.676,0.09500000000000242,0.3
W02000298,33.613,31.49,2.123000000000001,6.3
W02000299,31.393,28.816,2.5770000000000017,8.2
W02000300,31.004,30.916,0.08800000000000097,0.3
W02000301,30.65,31.483,-0.833000000000002,-2.7
W02000302,34.304,31.93,2.3740000000000023,6.9
W02000303,32.525,31.137,1.3879999999999981,4.3
W02000304,30.846,29.812,1.033999999999999,3.4
W02000305,31.3,29.587,1.713000000000001,5.5
W02000306,31.418,28.97,2.4480000000000004,7.8
W02000307,28.592,27.645,0.9469999999999992,3.3
W02000308,30.901,29.27,1.6310000000000002,5.3
W02000309,31.117,30.469,0.6479999999999997,2.1
W02000310,35.12,31.86,3.259999999999998,9.3
W02000311,30.331,28.346,1.9849999999999994,6.5
W02000312,31.897,30.792,1.1049999999999969,3.5
W02000313,38.392,36.415,1.9770000000000039,5.1
W02000314,30.407,29.286,1.1209999999999987,3.7
W02000315,29.625,29.116,0.5090000000000003,1.7
W02000316,29.41,27.129,2.280999999999999,7.8
W02000317,30.27,30.077,0.19299999999999784,0.6
W02000318,28.157,27.338,0.8189999999999991,2.9
W02000319,29.733,27.034,2.6990000000000016,9.1
W02000320,30.198,26.366,3.8320000000000007,12.7
W02000321,29.178,25.615,3.5630000000000024,12.2
W02000322,27.513,25.994,1.519000000000002,5.5
W02000323,29.845,28.092,1.7530000000000001,5.9
W02000324,30.816,28.032,2.783999999999999,9.0
W02000325,29.709,26.135,3.573999999999998,12.0
W02000326,30.313,27.966,2.3469999999999978,7.7
W02000327,35.095,32.74,2.354999999999997,6.7
W02000328,35.065,33.0,2.0649999999999977,5.9
W02000329,31.467,31.333,0.13400000000000034,0.4
W02000330,34.021,31.805,2.216000000000001,6.5
W02000331,28.399,26.323,2.0760000000000005,7.3
W02000332,28.728,26.993,1.735000000000003,6.0
W02000333,33.595,28.676,4.9190000000000005,14.6
W02000334,34.777,31.262,3.5150000000000006,10.1
W02000335,36.856,36.075,0.7809999999999988,2.1
W02000336,37.453,36.554,0.8990000000000009,2.4
W02000337,32.605,30.131,2.4739999999999966,7.6
W02000338,36.867,37.547,-0.6799999999999997,-1.8
W02000339,36.819,32.597,4.222000000000001,11.5
W02000340,37.253,37.541,-0.2879999999999967,-0.8
W02000341,37.399,38.912,-1.5129999999999981,-4.0
W02000342,42.246,40.099,2.1470000000000056,5.1
W02000343,33.885,33.166,0.7190000000000012,2.1
W02000344,38.071,39.728,-1.6570000000000036,-4.4
W02000345,30.77,31.894,-1.1239999999999988,-3.7
W02000346,40.135,37.625,2.509999999999998,6.3
W02000347,38.516,37.009,1.506999999999998,3.9
W02000348,33.584,33.109,0.4750000000000014,1.4
W02000349,28.931,26.28,2.651,9.2
W02000350,39.974,37.186,2.7879999999999967,7.0
W02000351,31.689,29.46,2.228999999999999,7.0
W02000352,32.257,27.996,4.260999999999999,13.2
W02000353,35.452,31.417,4.034999999999997,11.4
W02000354,32.8,30.089,2.7109999999999985,8.3
W02000355,40.143,38.726,1.4170000000000016,3.5
W02000356,27.939,23.906,4.033000000000001,14.4
W02000357,30.692,29.557,1.1350000000000016,3.7
W02000358,39.139,40.288,-1.1489999999999938,-2.9
W02000359,31.362,27.532,3.8299999999999983,12.2
W02000360,29.141,27.582,1.5589999999999975,5.3
W02000361,32.055,28.474,3.5809999999999995,11.2
W02000362,38.48,35.044,3.436,8.9
W02000363,31.515,30.253,1.2620000000000005,4.0
